clip_id,vggsound_label,caption,tag,note
W6KsrR_Nkrk_000000,metronome,A little girl plays piano with a metronome placed on top of it.,good,
elKhJvAaRlc_000008,sea lion barking,A man rides an electric scooter while music plays in the background.,good,foldable electric scooter
F9bJVVYgFl4_000073,lions roaring,"A black screen with white text that reads: Whatever is in the Heavens and Earth Exalts Allah, and He is the Exalted in Might, the Wise. Qur'an 57:1 followed by lions roaring.",sound-blind,
GI3Vdc5WHJA_000214,warbler chirping,A warbler chirps in the background of an Asian style house with trees around it.,good,
IeapE3z-v3Q_000074,playing bass drum,A man plays drums with his hands and feet while wearing green shoes.,good,the audio also has some other instruments but its good 
Le4vGJ4U7AM_000000,people babbling,"A baby boy on a tricycle with the word PUKY on it is being spoken to by someone who says ""Wow Lenny you got bike"" while he looks at his mother.",good,
rMJacNNPAYo_000134,people humming,People hum in unison with the music playing in the background.,good,its a lyric video in spanish I think 
Yj4i4C-CZ7M_000000,"bee, wasp, etc. buzzing",A bee buzzes around in front of a house while colorful dots fly through the air.,good,
JQ1Z5-4HHK4_000040,"subway, metro, underground",A train passes by with a bell ringing in the background.,good,
1QBsc_IXg8U_000750,tornado roaring,A large tornado roars across the sky with dark clouds swirling around it.,good,
E8SPrMj1cto_000030,baby crying,A baby cries while being held by an adult hand.,good,the baby is not being held its being fed but it got the baby right 
ocU-q__LOQc_000048,foghorn,A man appears in a circle on screen followed by an old radio with the words Ray Bradbury's The Foghorn appearing over it.,good,
Jy9BwUEB994_000014,zebra braying,A zebra brays loudly in this audio clip.,good,
AHIV0RMwnN8_000150,tap dancing,A person tap dances in place while singing.,good,person doesn't sing he instructs 
ylmY-KO-Yy4_000001,sea lion barking,A sea lion barks while colorful paint splatters on a white background with Korean text appearing in the center.,good,"its not a sea lion its a dog lol, what the hell even the VGG sound label is not right "
MLJvuEjyTTk_000057,people humming,A girl in a white hat sings while others dance behind her; people hum in the background.,good,its an anime or a 3d render
S1glY1D9qDU_000035,hedge trimmer running,A man trims bushes with an electric hedge trimmer outdoors on a sunny day.,good,
Nvy70GTLwbM_000051,airplane flyby,An airplane flies by while an aerial view of a city with lots of buildings is shown.,good,
E6TSYy7ikcs_000129,playing synthesizer,A man plays an electric piano with his hands while music plays in the background.,good,
1obzCbmFpa8_000410,people giggling,A baby laughs while surrounded by toys in his playpen.,good,
pFTAenV8ksU_000030,bird wings flapping,A man in striped shirt is feeding birds while they fly around him making bird wing flapping sounds.,good,
2dBVv-HHhCc_000004,spraying water,A large blue sprayer truck is spraying water on a dirt road while people stand around it watching.,good,
PSw5uqkTPzs_000314,playing bass drum,A man playing guitar while another person plays drums in the background.,good,
-HMEhGV38GM_000216,playing congas,A man in black jacket plays conga drums while singing.,good,
ZVKgp2DGpcI_000021,dog bow-wow,A group of dogs are running around in an indoor area while barking at each other.,good,
Kfr4i48HNcA_000053,playing tambourine,A man in blue shirt is playing tambourines while another man in black shirt is watching him.,good,
OQHyoW6CVuA_000046,playing hockey,"A group of people wearing flippers swim underwater in an indoor pool while playing water polo with a ball, accompanied by cheering from spectators.",good,
H3vSRzkG82U_000030,people screaming,A man screams loudly in an insane tantrum from a medium perspective.,good,there is no perpective just screams with a black screen and some text
iz8en2Dt7vE_000017,playing trumpet,A woman plays a brass instrument in her living room.,good,plays a trumphet
1nbCJJtsruI_000000,playing saxophone,A person plays the saxophone while a child crawls through debris on the ground.,good,
MLHEeVVOx-E_000181,chipmunk chirping,A chipmunk chews on a nut while making a chirping noise.,good,
U4mjEABM6qw_000007,sheep bleating,A man in a blue towel sits outside with a goat who is licking his face while sheep bleat in the background.,good,
Tgb2q9H8Qok_000298,"heart sounds, heartbeat",A woman lies on her back with an electronic device attached to her stomach while a cat walks behind her.,good,
ZwAplWOatRo_000020,people nose blowing,A woman blows her nose with a tissue while another girl beside her does the same.,good,just 2 two different videos of blowing noses
FMfZWfpusVk_000130,people crowd,A group of people are dancing in front of a crowd who are singing along to them.,good,
Bgnaur8-fas_000160,playing bongo,A man in plaid shirt plays bongos with his hands while music plays in the background.,good,
h7aDUFAAwFE_000560,thunder,A man with tattoos on his arms opens a door while thunder sounds in the background.,good,
wRnBUv5KA94_000024,train wheels squealing,A train passes by on railroad tracks with loud train wheels squeal.,good,
xK-7W3ZPd3o_000094,chopping wood,A man uses an ax to chop wood on a gravel driveway in front of his house.,good,
O15hBKDfG1k_000350,people sobbing,A man in military uniform hugs his wife who is crying while he was away.,good,
dbunjNOhz2w_000210,eating with cutlery,A man pours cereal into a bowl while eating with cutleries.,good,
4euUZgSSuIw_000160,woodpecker pecking tree,A woodpecker is pecked at a tree trunk while birds chirp in the background.,good,
m43Rs05JO6M_000018,people humming,A cityscape at dusk with people humming in the background.,good,
xC01ty1ngVQ_000002,alarm clock ringing,An alarm clock rings loudly several times.,good,
Le9QaCTQFQ4_000150,people farting,Two men wearing plaid shirts are talking to each other while someone farts in the background.,good,
1garMoYilAY_000030,wind rustling leaves,A baseball player throws a ball while wind blows through the trees in the background.,good,
Ppqv5jc1wUw_000314,playing volleyball,A group of people are playing volleyball on a sandy beach near a body of water under clear blue skies. The sound of the ball being hit back and forth can be heard throughout the scene.,good,
5ott6Y1gZcY_000144,people cheering,A group of children are performing in front of an audience who cheer them on.,good,
ybqzgl9OfB8_000364,opening or closing car electric windows,A man opens up his car door and then closes it back again.,good,
ygT6GIGVVgI_000097,swimming,A baby floats in water while an adult swims nearby; the sound of swimming can be heard throughout.,good,
