clip_id,vggsound_label,gpt_action_brief,gpt_action_detailed,gpt_summary_brief,gpt_summary_detailed,gpt_sound_acoustic,overall_tag,sound_tag,note
aJBHU0__eZI_000413,playing bongo,playing bongos,"A person seated on a chair is playing two bongos placed between their legs. Their hands move rhythmically across the drumheads, creating a lively beat.",A street performer plays bongos while sitting outdoors.,"The video features an individual seated on a simple chair positioned outdoors under bright sunlight. They are dressed casually in jeans and sneakers, focusing intently as they play two bongos that rest comfortably between their legs. The rhythmic tapping of their fingers against the drumheads produces a vibrant musical performance, occasionally punctuated by clapping for emphasis or to add variety to the beat. A small tin can sits nearby, likely intended for collecting tips from passersby who appreciate the music.","The ""playing bongo"" sound consists of a resonant, percussive tone produced by striking the drumheads with fingertips.",good,good,
0fsFWLev-q4_000257,running electric fan,Plugging an electrical device into a power outlet.,"A person is seen reaching towards a wall-mounted power outlet to plug in an electrical device. The individual carefully aligns the plug with the socket and inserts it securely. Once connected, the device appears to be activated as indicated by a change in the surrounding environment or equipment.",An individual plugging an electrical device into a power outlet within a workshop-like setting.,"In a workspace that resembles a workshop or laboratory, an individual performs the task of connecting an electrical device to a power supply via a wall-mounted outlet. This activity involves careful handling of the plug and ensuring proper connection for the device to function correctly. The environment suggests technical work involving electronics or machinery.","The ""running electric fan"" sound likely represents the hum or whirring noise produced by an electric fan running at idle speed.",good,good,
FI6SwkcxekM_000540,opening or closing drawers,A woman holding a baby,"The video shows a woman holding a baby while standing indoors. The woman appears to be interacting with someone off-camera, possibly talking or laughing. The baby is wearing a pacifier and seems calm. In the background, there is another person who moves around briefly.",A domestic scene featuring a woman holding her baby inside a house.,"In an indoor setting that resembles a home, a woman is seen holding a baby close to her chest. She interacts with someone not visible on camera, indicated by her facial expressions which suggest speech or laughter. Meanwhile, another individual can be observed moving about in the background, adding a dynamic element to the otherwise static scene focused on the mother and child.","The ""opening or closing drawers"" sound suggests a quiet, rhythmic noise typically associated with smooth movements of drawer mechanisms.",good,good,
1W9fwoe4O-M_000117,child singing,A child sings into a microphone.,"The video features a young boy performing on stage while holding a microphone close to his mouth. He appears focused as he sings, occasionally glancing around the audience or at the camera. The background displays a cityscape design, enhancing the performance atmosphere.",A child performs a song on stage during a live broadcast event.,"A young boy is seen singing passionately into a microphone on a stage set against a backdrop depicting an urban skyline. The lighting shifts subtly throughout the performance, highlighting different aspects of the stage setup. The audience is not visible but their presence is implied by the setting and the boy’s engagement with the space.","The ""child singing"" sound has a clear, resonant quality typical of a well-equipped studio recording.",good,good,
mi7kgfvwTAw_000005,playing badminton,playing badminton,"Two players on each side of the net engage in a rally, hitting the shuttlecock back and forth over the net.",A doubles badminton match taking place indoors.,"The video depicts an indoor badminton match between two teams playing doubles. The players are positioned on opposite sides of the court, actively engaging in a rally by hitting the shuttlecock back and forth over the net. The environment suggests a competitive atmosphere, likely part of a tournament or professional event, as indicated by the presence of spectators and official signage around the court.","The ""playing badminton"" sound consists of repetitive, sharp impacts characteristic of a shuttlecock being hit against a racket.",good,good,
qhK_b3hvbXg_000327,playing drum kit,A person playing an electronic drum set,"The person is seated behind an electronic drum set, hitting various drums and cymbals with drumsticks. Their movements are rhythmic and precise as they play different parts of the drum kit.",A drummer performing on an electronic drum set indoors.,"In a dimly lit room, a drummer is seen playing an electronic drum set. The individual is focused and skilled, moving their arms and legs to strike the drums and cymbals in time with music that can be heard in the background. The drum set includes multiple pads and cymbal-like components, all mounted on stands for easy access during performance.","The ""playing drum kit"" sound consists of rhythmic beats produced by striking electronic drum pads and cymbals.",good,good,
r4-n0MzzWUc_000030,typing on typewriter,Typing on a typewriter,"The person is typing on an old-fashioned typewriter, producing rhythmic clacking noises as they type out words or phrases.",A person typing on a typewriter while playing a Pokémon game.,"In this scene, someone is engaged in both gaming and writing simultaneously. The primary focus appears to be on a Pokémon battle displayed on a screen, where two Pokémon named Raticate and Togetic are facing off against each other. Meanwhile, there is also audio of someone typing on a typewriter, which adds an interesting layer of multitasking to the scenario. This juxtaposition suggests that the individual might be taking notes during their gameplay session or perhaps even composing something related to the game.","The sound is characterized by consistent, repetitive clacks typical of mechanical keyboards found in older typewriters.",good,good,
BI96CRWSZd4_000374,ripping paper,Tearing a notebook page,A hand reaches for an open notebook on a black leather surface. The hand flips through several pages before tearing out one sheet. The torn page falls onto the surface below.,A person tears a page from a notebook while sitting at a desk.,"The scene takes place indoors, likely at a desk or table covered with a black leather-like material. A hand interacts with an open notebook, flipping through multiple pages until selecting one to tear off completely. The sound of the paper being ripped is prominent throughout the clip, indicating the forceful removal of the page.","The ""ripping paper"" sound is sharp and sudden, characterized by a high-pitched tearing noise as the paper fibers separate.",good,good,
XitlFBW2DW4_001535,sea waves,A palm tree leans over clear blue water.,"The video shows a serene beach scene where a single palm tree leans gracefully towards the ocean. The water is crystal clear, transitioning from light turquoise near the shore to deeper blues further out. Gentle waves lap at the sandy beach as the palm sways slightly in the breeze.",A tranquil tropical beach with a leaning palm tree by the sea.,The video captures a peaceful coastal landscape under a bright sky. A solitary palm tree bends toward the calm waters of an expansive ocean. The gentle movement of the palm and the rhythmic sound of the waves create a soothing atmosphere typical of a secluded beach.,"The ""sea waves"" sound is soft and continuous, characterized by the natural ebb and flow of water against the shoreline.",good,good,
hizN7823a6c_000030,typing on typewriter,Typing on an old-fashioned typewriter.,"A person is typing on an old-fashioned typewriter placed outdoors on a wooden table. The hands move rhythmically over the keys as paper emerges from the machine, indicating active writing or composition. The environment suggests a peaceful outdoor setting, possibly a porch or patio area.",Someone typing on a vintage typewriter outside.,"The video depicts a serene outdoor scene where someone is engaged in the act of typing on a classic typewriter. Positioned on a wooden table under natural light, the typewriter stands out against a backdrop that includes elements of nature such as trees and part of a building structure. The rhythmic tapping of fingers on the keys creates a nostalgic ambiance, suggesting a moment of focused creativity or communication.","The ""typing on typewriter"" sound has a mechanical quality, characterized by distinct key strikes followed by the sound of paper movement.",good,good,
