clip_id,vggsound_label,gpt_action_brief,gpt_action_detailed,gpt_summary_brief,gpt_summary_detailed,gpt_sound_acoustic,overall_tag,sound_tag,note
JcLwOkkxaXo_000095,coyote howling,man shooting gun,A man is seen aiming and firing a rifle from behind cover in a wooded area. He then moves quickly through the trees while continuing to shoot.,Man shoots gun in forested area,"The video depicts a man engaged in a hunting scenario within a dense forest environment. Initially, he is positioned behind some cover, aiming his rifle carefully before taking a shot. Following this, he swiftly navigates through the underbrush and trees, maintaining an active stance as if tracking or pursuing game. The presence of a coyote howl suggests that wildlife is present in the vicinity, adding tension to the scene.",The sound is of a horse galloping with music in the background.,good,sound-blind,okay there are galloping sounds but that is a bankground score or music there is also hollowing but a lot of noise as well 
GPMfyC7Hcp0_000000,"donkey, ass braying",Donkeys running on a road,"The donkeys are seen running across a paved area, moving from left to right. They appear energetic and playful as they trot along the path.",Donkeys running on a road,"A group of donkeys is captured in motion, galloping energetically down a road. The setting appears to be an open outdoor space, possibly near buildings or structures that suggest a rural or semi-urban environment. The donkeys display lively behavior, suggesting freedom and playfulness.","The audio contains wind noise, bird vocalization, and horse trotting sounds.",good,wrong,The donkeys are there and I can here them trotting 
O30HsIQEeXc_000270,hair dryer drying,A woman is getting her hair dried.,"The video depicts a woman lying on a bed while another person uses a hair dryer to dry her hair. The woman appears relaxed as she lies on her stomach, propped up by her elbows, while the individual operating the hair dryer moves around her to ensure even drying. The setting suggests a casual or intimate environment where personal grooming is taking place.",A woman being dried off after a shower or bath by someone else.,"In this video segment, we observe an intimate domestic scene where a woman is engaged in post-bath activities. She is positioned on a bed, dressed in a leopard print bikini, indicating that she has just finished bathing. Another person, whose hands are visible holding a hair dryer, is attending to her needs by drying her hair thoroughly. This interaction takes place against a simple backdrop, emphasizing the private nature of the moment.",The sound is of an electric shaver buzzing.,good,wrong,"hair dryer, clearly in the text as well"
AC4ITIdiccw_000030,playing clarinet,playing clarinets,Three men are playing clarinets on stage while singing into microphones. They appear to be performing as part of a musical group or band.,A group of musicians performing on stage.,"The video depicts a lively performance by a group of musicians on stage during what appears to be a festive event. Three men play clarinets while singing into microphones, accompanied by keyboardists seated at their instruments. The setting includes Christmas decorations such as trees and ornaments, suggesting a holiday-themed concert or celebration.",The music is instrumental with a fast tempo and a lively feel. It sounds like it could be from an orchestra or band playing in a concert hall.,good,generic/templated,"there is clarinet being played but with a band, but it does get the music and tempo part right "
tRsClUJDxCQ_000029,playing bugle,A man plays a trumpet.,"The man stands still while playing the trumpet. He holds the instrument to his mouth with both hands and blows into it, creating music.",A man in uniform plays a trumpet indoors.,"In an indoor setting, a man dressed in formal military attire plays a trumpet. The room features wooden doors and light-colored walls, suggesting a solemn or ceremonial environment. Throughout the clip, the man remains stationary as he focuses on producing musical notes from the trumpet.",The sound is that of a trumpet being played in a musical piece with a steady tempo.,good,generic/templated,"trumpet  in the tag but I guess its a bugle, its good enough"
K4fk9S5UxJc_000026,horse clip-clop,horses running,The horses start off slowly but then begin to run faster as they move across the field.,Horses running on a grassy field near a fence.,A group of horses initially stand still by a wooden fence before starting to run together across an open grassy field. The movement begins at a slow pace which gradually increases into a full gallop. The surrounding environment includes trees and hills in the background under a cloudy sky.,The audio contains wind noise and sounds of a horse trotting.,good,good,
KxzuJRh9GaQ_000030,owl hooting,an owl turns its head sharply.,"An owl, perched on a stand or branch, suddenly turns its head to look directly at something off-camera. Its eyes widen as it shifts its gaze quickly, revealing an impressive range of motion that allows it to turn nearly 180 degrees without moving its body.",An owl demonstrates its remarkable neck flexibility by turning its head sharply while being observed by people nearby.,"The video captures a moment where an owl exhibits its unique ability to rotate its head through a wide arc. The bird is positioned indoors, possibly within a controlled environment like a wildlife center or educational facility. As the owl turns its head swiftly, two individuals observe closely; one appears to be holding recording equipment, suggesting this might be part of a documentary or educational program about owls.",The audio contains a woman speaking in an interview setting. There is also background noise of people talking.,good,generic/templated,"owl does hoot but not that much so I dont blame it, does get everything else right "
FsBC8LIZ7eI_000045,hammering nails,A man is hammering nails into wood.,"The man is wearing protective gear including gloves and a mask while working on a wooden plank placed on sawhorses outdoors. He methodically hammers nails into the wood, occasionally adjusting his grip or position to ensure precision. The rhythmic tapping of the hammer against the nails creates a steady beat as he works through the task at hand.",A man is hammering nails into wood outside.,"In an outdoor setting, a man is engaged in the task of hammering nails into a piece of wood that rests on sawhorses. Dressed in casual work attire complemented by safety equipment like gloves and a face mask, he demonstrates careful craftsmanship. Throughout the process, he adjusts his stance and tool handling for efficiency, focusing intently on securing each nail firmly into place.","The sound is of hammering, rhythmic and steady in nature. It comes from someone using a hammer against an object.",good,good,
yc4mmvlO39M_000030,people sniggering,woman laughing,"A woman sitting at a table laughs heartily while looking at her laptop screen. She covers her mouth with her hand as she laughs, then leans back slightly before returning to look at the laptop again.",Woman laughing at something funny on her laptop.,"The video depicts a woman seated at a wooden dining table in a cozy kitchen environment. She appears engaged and amused by content displayed on her open laptop. As she laughs, she occasionally adjusts her position, leaning back into her chair and covering her mouth with her hand. The laughter seems contagious or highly enjoyable for her.",The sound is of a woman laughing.,good,generic/templated,"people sniggering, in its defence its a woman laughing loudly but it is correct as well "
w8r0MxrGQ18_000451,playing tuning fork,A person wearing gloves holding a pink tube,The video shows a person wearing beige gloves handling a pink tube. The individual appears to be manipulating or adjusting something within the tube while their hands move around it. The focus remains on the gloved hands interacting with the tube throughout the sequence.,A close-up view of someone's gloved hands working with a pink tube indoors.,"The video captures an indoor scene where a person dressed in light blue attire and wearing beige gloves is engaged in some activity involving a pink tube. Throughout the sequence, the person's hands are seen moving around the tube, suggesting they might be performing a task that requires precision or care. The background includes elements like a patterned wall, indicating the setting could be a workspace or laboratory environment.",The audio contains a woman speaking in Japanese with an excited tone.,good,good,the tag is right the label is wrong 
ylNrA80r9qM_000126,tornado roaring,A large tornado is forming over a field.,"The video captures the formation of a massive tornado as it approaches a lush green field. The sky is filled with dark, swirling clouds that gradually condense into a powerful funnel cloud. As the tornado nears the ground, its structure becomes more defined, creating an ominous presence over the landscape. The surrounding environment remains calm despite the impending storm.",A large tornado forms over a field under a cloudy sky.,"The video showcases the dramatic development of a large tornado over a verdant agricultural field. Initially, thick, dark clouds gather overhead, slowly morphing into a visible tornado funnel. This natural phenomenon looms menacingly above the flat terrain dotted with crops, emphasizing both the power and beauty of such weather events.",The sound is of wind blowing into a microphone. It sounds like it could be coming from an outdoor setting with some traffic noise in the background.,good,generic/templated,Its generic doesn't use the word tornado in its writting 
Fu-lnC9KbdI_000052,playing badminton,playing badminton,A group of people are playing badminton indoors on a wooden court. They are actively hitting the shuttlecock back and forth over the net.,Indoor badminton game among friends or teammates.,"The video depicts an indoor badminton match taking place in a spacious gymnasium with wooden flooring and high ceilings. The players, dressed in casual sports attire, are engaged in a lively rally, hitting the shuttlecock across the net. The atmosphere suggests a friendly competition as they move swiftly around the court to return shots.",The audio contains music playing in the background with some squeaking sounds from shoes on the floor.,good,generic/templated,misses the shuttle and playing but everything is else is right 
5xIBQGMjiX4_000030,playing banjo,playing guitar,A person is playing an acoustic guitar while standing on a subway platform. The individual strums the strings rhythmically as they move slightly to the music.,A guitarist performs live on a subway platform.,"The video captures a musician performing live on a subway platform. The guitarist stands amidst the crowd, skillfully strumming their acoustic instrument. Passengers around them appear engaged or indifferent, some pausing briefly to watch the performance before resuming their activities.",The music is lively and upbeat with guitar strumming and singing. It sounds like it could be coming from a live performance or recording session.,good,good,
o4SLkvEa8Mk_000184,popping popcorn,stirring popcorn,A hand stirs popped popcorn in a large metal bowl placed on a blue surface. The stirring motion ensures even distribution and prevents clumping.,Stirring freshly popped popcorn in a kitchen setting.,"The video depicts a close-up view of someone stirring freshly popped popcorn in a large metal bowl situated on a blue countertop. The person uses their right hand to mix the popcorn thoroughly, ensuring that each piece is evenly coated or distributed within the bowl. The background shows part of a tiled wall, indicating an indoor kitchen environment.",The audio contains the sounds of cutlery and dishes clattering together with some female speech in the background.,good,good,popcorn are not popping 
D5-jwFJXn1U_000182,cupboard opening or closing,A cupboard door being opened.,"The video shows a close-up view of a cupboard door as it opens slowly to reveal its contents. The movement is smooth and deliberate, suggesting careful handling of the door. Inside the cupboard, various items can be seen, though they are not clearly identifiable due to the focus on the door itself.",Opening a cupboard door.,"The video captures the moment when someone opens a cupboard door. Initially, the door appears closed, but as the video progresses, it gradually swings open, revealing the interior shelves and possibly some stored items inside. This simple yet detailed action suggests routine access to storage space within a home environment.",The audio contains a long beep followed by a shorter one. The source is probably an electronic device or machine signaling something.,good,sound-blind,
B0YP60j1VR4_000012,sliding door,opening garage door,"The video shows a close-up view of a garage door mechanism as it begins to open. The camera captures the movement of the door panels lifting upwards along their tracks, revealing more of the interior space beneath.",Opening a garage door from an inside perspective.,"A detailed look at the mechanical process of opening a garage door. Initially focused on the upper part where cables and pulleys guide the door panels upward, the camera angle shifts slightly to show the entire motion of the door rising smoothly into its fully opened position.",The audio contains the sounds of metal clanking against each other at different intervals with brief periods of silence in between. The source is likely a garage door opening or closing.,good,good,
ZsWs23ldI4k_000110,people hiccup,a person drinking from a cup,A person picks up a dark-colored mug from a table and takes a sip while sitting at a dimly lit table. The background includes various items such as cans and bottles.,A person drinking from a cup in a dimly lit room.,"The video depicts a person seated at a table in a low-lit environment, engaging in the act of drinking from a dark-colored mug. The setting appears to be casual, possibly a home or a small gathering place, indicated by the presence of multiple beverage containers on the table. The lighting casts shadows across the scene, adding an intimate atmosphere. Throughout the sequence, the focus remains primarily on the individual and their interaction with the mug.",The audio contains a burp followed by laughter.,good,good,
0dUL0EweBEY_000387,plastic bottle crushing,A person uses an electric drill to make holes into a plastic bottle.,"The individual begins by positioning a clear plastic bottle on a workbench next to a gas stove. They then use an electric drill equipped with a specialized bit designed for drilling through plastic. The drill is carefully guided along the surface of the bottle, creating multiple small holes evenly spaced across its body. Throughout the process, the person adjusts their grip and angle to ensure precision and control over the drilling operation.",A person drills holes into a plastic bottle using an electric drill while standing at a workbench near a gas stove.,"In this video segment, a person demonstrates the process of modifying a plastic bottle by drilling precise holes into it. Set against the backdrop of a cluttered workshop area featuring a gas stove, the individual methodically operates an electric drill. The focus remains tightly on the hands and tools as they meticulously create uniform openings in the bottle’s surface. This activity suggests preparation or customization of the bottle, possibly for a DIY project involving fluid transfer or ventilation.",The audio contains a man speaking in Russian followed by some kind of impact sounds.,good,generic/templated,
-Q3MX7Tgx_E_000111,cat hissing,a cat hisses at another cat,"A gray kitten stands on a carpeted floor, looking around curiously. Suddenly, it opens its mouth wide as if to hiss or meow loudly. Another black kitten approaches from behind, seemingly curious about the first kitten's behavior.",Two kittens interacting on a carpeted floor indoors.,"The scene takes place indoors on a carpeted floor where two kittens interact. One kitten, gray in color, appears startled or defensive, opening its mouth wide possibly in a hiss or loud meow. The second kitten, black, comes closer, showing curiosity towards the first kitten's reaction.",The audio contains a single sneeze from an animal.,good,good,
R5np0eUAWUU_000000,basketball bounce,a basketball being thrown into a hoop,A person throws a basketball towards a hoop located on an outdoor court surrounded by trees. The ball successfully goes through the net.,Outdoor basketball game in a park-like setting.,"The video depicts an outdoor basketball game taking place in a park or wooded area. A player takes a shot at the basket from outside the court, aiming for the hoop mounted on a pole. The surrounding environment includes lush greenery and trees, creating a serene backdrop to the athletic activity.",The sound is of an object being hit or bashed against another hard surface. It could be from a basketball bouncing off a hoop.,good,good,
RvOBWC1s28w_000015,mouse squeaking,A hand picks up an item from a bucket.,The video begins by showing a green bucket containing various items including a cylindrical container. A hand reaches into the frame to pick up this cylindrical container from inside the bucket.,A person retrieves an item from a bucket filled with miscellaneous objects.,"In this video segment, we observe a close-up view of a green plastic bucket placed on the ground. Inside the bucket, there are several items, notably a cylindrical container that appears to be some kind of spray can or similar product. As the video progresses, a human hand enters the frame and carefully lifts the cylindrical container out of the bucket.",The audio contains sounds of chickens clucking and birds chirping in an outdoor setting.,good,good,
wGms6MZt-vU_000040,people finger snapping,man clapping hands,A man wearing a black t-shirt stands against a white wall background. He begins by clapping his hands together rhythmically several times before transitioning to a more complex hand movement involving both hands.,Man performing rhythmic hand movements,"The video features a man engaged in a series of hand movements that appear to be part of a performance or demonstration. Initially, he claps his hands in a steady pattern, which evolves into a more intricate routine where both hands move simultaneously. The setting is simple, with the focus entirely on the man's upper body and hand gestures.",The audio contains rhythmic clapping sounds with a brief burst of finger snapping at the end. The source is likely human hands.,good,good,
L91DeeZZYnU_000042,people slapping,slapping,A person is seen slapping another individual multiple times.,An altercation involving slapping between two individuals.,"The video depicts an intense altercation where one person aggressively slaps another repeatedly. The setting appears to be indoors, possibly within a domestic or office environment given the presence of furniture such as chairs and tables. The individuals involved seem to be engaged in a heated argument, which escalates into physical violence through the act of slapping.","The audio contains music with a fast tempo and a strong beat, along with shouting and screaming in the background. It is likely from an action or thriller movie soundtrack.",good,generic/templated,
IDfaiqtHiEw_000080,chimpanzee pant-hooting,A baby chimpanzee is being held by its mother.,"The mother chimpanzee gently holds her newborn baby close to her chest while lying on hay. The baby chimpanzee appears to be sleeping peacefully nestled against its mother. The mother occasionally adjusts her hold slightly but remains mostly still, providing comfort and security for her infant.",A tender moment between a mother chimpanzee and her newborn baby in their enclosure at Bioparc Valencia.,"In this heartwarming scene set within an enclosure at Bioparc Valencia, a mother chimpanzee lovingly cradles her newborn baby. The baby rests quietly against its mother, who lies comfortably on a bed of hay. Throughout the clip, the mother makes subtle adjustments to ensure her infant's safety and warmth, creating a serene tableau that highlights the nurturing bond between them.",The sound is of an animal breathing heavily with some background noise. It sounds like it could be from a large mammal in captivity.,good,generic/templated,
NIuu97_y33A_000030,playing cello,playing cello,A person is playing a blue cello while standing next to several other cellos hanging on a wall.,Playing cello,"The video depicts a person playing a blue cello in a music store or studio setting. The individual stands beside multiple cellos that are displayed against a wooden wall. The cellos vary in color from white to brown and blue, each with its own unique design. The player appears focused as they pluck the strings of the blue cello.",The sound is percussive with a rhythmic pattern that resembles tapping or drumming. It could be produced by someone playing an instrument like a xylophone or marimba.,good,generic/templated,
